no,country,pop,land_area,fert_rate,med_age,urban_pop_per,world_share,latitude,longitude
77,Rwanda,14256567,24670,3.6,20,0.18,0.0017,-1.9646631,30.0644358
78,Burundi,14047786,25680,4.8,16,0.14,0.0017,-3.426449,29.9324519
79,Bolivia,12413315,1083300,2.5,25,0.7,0.0015,-17.0568696,-64.9912286
80,Tunisia,12277109,155360,1.8,33,0.71,0.0015,33.8439408,9.400138
81,South Sudan,11943408,610952,3.8,18,0.27,0.0015,7.8699431,29.6667897
82,Haiti,11772557,27560,2.6,24,0.61,0.0014,19.1399952,-72.3570972
83,Belgium,11738763,30280,1.4,42,0.99,0.0014,50.6402809,4.6667145
84,Jordan,11552876,88780,2.6,25,0.84,0.0014,31.1667049,36.941628
85,Dominican Republic,11427557,48320,2.2,28,0.86,0.0014,19.0974031,-70.3028026
86,United Arab Emirates,11027129,83600,1.2,32,0.82,0.0014,24.0002488,53.9994829
87,Cuba,10979783,106440,1.4,42,0.81,0.0013,23.0131338,-80.8328748
88,Honduras,10825703,111890,2.5,24,0.58,0.0013,15.2572432,-86.0755145
89,Czech Republic (Czechia),10735859,77240,1.5,43,0.74,0.0013,,
90,Sweden,10606999,410340,1.4,40,0.87,0.0013,59.6749712,14.5208584
91,Tajikistan,10590927,139960,3,22,0.27,0.0013,38.6281733,70.8156541
92,Papua New Guinea,10576502,452860,3.1,23,0.12,0.0013,-5.6816069,144.2489081
93,Portugal,10425292,91590,1.5,47,0.66,0.0013,39.6621648,-8.1353519
94,Azerbaijan,10336577,82658,1.7,33,0.58,0.0013,40.3936294,47.7872508
95,Greece,10047817,128900,1.3,46,0.88,0.0012,38.9953683,21.9877132
96,Hungary,9676135,90530,1.5,44,0.72,0.0012,47.1817585,19.5060937
97,Togo,9515236,54390,4.1,19,0.44,0.0012,8.7800265,1.0199765
98,Israel,9387021,21640,2.8,29,0.91,0.0012,31.39480005,34.63358319
99,Austria,9120813,82409,1.3,43,0.58,0.0011,47.59397,14.12456
100,Belarus,9056696,202910,1.2,41,0.84,0.0011,53.4250605,27.6971358
101,Switzerland,8921981,39516,1.4,43,0.74,0.0011,46.7985624,8.2319736
102,Sierra Leone,8642022,72180,3.7,19,0.45,0.0011,8.6400349,-11.8400269
103,Laos,7769819,230800,2.4,25,0.38,0.001,20.0171109,103.378253
104,Turkmenistan,7494498,469930,2.7,27,0.46,0.0009,39.3763807,59.3924609
105,Hong Kong,7414909,1050,0.7,47,N.A.,0.0009,,
106,Libya,7381023,1759540,2.3,27,0.77,0.0009,26.8234472,18.1236723
107,Kyrgyzstan,7186009,191800,2.8,25,0.35,0.0009,41.5089324,74.724091
108,Paraguay,6929153,397300,2.4,27,0.68,0.0008,-23.3165935,-58.1693445
109,Nicaragua,6916140,120340,2.2,26,0.58,0.0008,12.6090157,-85.2936911
110,Bulgaria,6757689,108560,1.7,45,0.77,0.0008,42.6073975,25.4856617
111,Serbia,6736216,87460,1.5,44,0.73,0.0008,44.1534121,20.55144
112,El Salvador,6338193,20720,1.8,27,0.79,0.0008,13.8000382,-88.9140683
113,Congo,6332961,341500,4.1,18,0.69,0.0008,-2.9814344,23.8222636
114,Denmark,5977412,42430,1.5,41,0.87,0.0007,55.670249,10.3333283
115,Singapore,5832387,700,1,36,N.A.,0.0007,1.357107,103.8194992
116,Lebanon,5805962,10230,2.2,29,0.88,0.0007,33.8750629,35.843409
117,Finland,5617310,303890,1.3,43,0.86,0.0007,63.2467777,25.9209164
118,Liberia,5612817,96320,3.9,19,0.54,0.0007,5.7499721,-9.3658524
119,Norway,5576660,365268,1.4,40,0.86,0.0007,61.1529386,8.7876653
120,Slovakia,5506760,48088,1.6,42,0.54,0.0007,48.7411522,19.4528646
121,State of Palestine,5495443,6020,3.3,20,0.83,0.0007,,
122,Central African Republic,5330690,622980,6,14,0.44,0.0007,7.0323598,19.9981227
123,Oman,5281538,309500,2.5,29,0.93,0.0006,21.0000287,57.0036901
124,Ireland,5255017,68890,1.6,39,0.62,0.0006,52.865196,-7.9794599
125,New Zealand,5213944,263310,1.7,38,0.83,0.0006,-41.5000831,172.8344077
126,Mauritania,5169395,1030700,4.6,17,0.6,0.0006,20.2540382,-9.2399263
127,Costa Rica,5129910,51060,1.3,35,0.84,0.0006,10.2735633,-84.0739102
128,Kuwait,4934507,17820,1.5,35,0.92,0.0006,29.2733964,47.4979476
129,Panama,4515577,74340,2.1,30,0.7,0.0006,8.559559,-81.1308434
130,Croatia,3875325,55960,1.5,45,0.61,0.0005,45.3658443,15.6575209
131,Georgia,3807670,69490,1.8,37,0.62,0.0005,41.6808672,44.0287806
